first_name,last_name,orcid_id,gsuser_id
Akanksha,Negi,0000-0003-2531-9408,Gcz8Ng0AAAAJ
Alyssa, Hu, 0000-0002-9013-8374, IIDTKgsAAAAJ
Andrew,Matthews,NA,NA
Ann,Maharaj,0000-0002-5513-962X,BZ07eocAAAAJ
Athanasios,Pantelous,0000-0001-5738-1471,ZMaiiQwAAAAJ
Benjamin,Wong,0000-0002-1665-6165,Nneg6GAAAAAJ
Bin,Peng,0000-0003-4231-4713,5d3ZOm4AAAAJ
Bonsoo,Koo,0000-0002-7247-9773,OmK08lAAAAAJ
Brett,Inder,NA,Wx6eeWgAAAAJ
Catherine,Forbes,0000-0003-3830-5865,jm73LccAAAAJ
Charanjit,Kaur,0000-0001-9379-0010,NA
Damjan,Vukcevic,0000-0001-7780-9586,8PZ6cvoAAAAJ
Dan,Zhu,0000-0003-1487-2232,HKdOwf4AAAAJ
Daniel,Melser,0000-0003-0452-818X,dbnhKg0AAAAJ
David,Frazier,0000-0002-3446-2516,7PlczFsAAAAJ
Dianne,Cook,0000-0002-3813-7155,wwd3vdEAAAAJ
Didier,Nibbering,0000-0003-4398-4321,ZbnxYJcAAAAJ
Donald,Poskitt,NA,5Hd3T_EAAAAJ
Duangkamon,Chotikapanich,0000-0003-1011-9585,_mwp4tEAAAAJ
Erik,Sverdrup,0000-0001-6093-1390,LW1Kw4EAAAAJ
Farshid,Vahid-Araghi,0000-0002-5136-8361,zhwoAzIAAAAJ
Gael,Martin,NA,Uq0_yNgAAAAJ
George,Athanasopoulos,0000-0002-5389-2802,XOnCgewAAAAJ
Geraldine,Roberts,NA,NA
Heather,Anderson,0000-0002-7668-1151,Y2_fkj8AAAAJ
Hsein,Kew,0009-0004-6565-1274,n78g02EAAAAJ
Jack,Jewson,0000-0003-2703-7180,XBlL5AQAAAAJ
Janjala,Chirakijja,0000-0001-8106-971X,I8v-44UAAAAJ
Jessica,Leung,0000-0002-3538-0790,WfbnEuAAAAAJ
Jiti,Gao,0000-0002-4261-0021,BVke6rMAAAAJ
Joan,Tan,0000-0001-6374-1568,KJfOVqoAAAAJ
Julie,Cook,NA,NA
Kate,Saunders,0000-0002-1436-7802,mD32x4MAAAAJ
Keith,McLaren,NA,NA
Klaus,Ackermann,0000-0001-7693-8538,Z3aygjwAAAAJ
Liyuan,Lin,0000-0002-8845-2436,LJkk2-wAAAAJ
Maxwell,King,NA,Uyh_-SwAAAAJ
Mervyn,Silvapulle,0000-0002-2808-7094,NA
Michael,Lydeamore,0000-0001-6515-827X,miNl6rMAAAAJ
Minh, Huynh, 0000-0001-7349-7482, NA
Natalia,Bailey,0000-0003-2693-5632,wzL-CDIAAAAJ
Nikolas, Kuschnig,0000-0002-6642-2543,szCDZPEAAAAJ
Ole,Maneesoonthorn,0000-0003-3479-0488,swRXUssAAAAJ
Otavio,Bartalotti,0000-0001-5151-3277,x9wwpOgAAAAJ
Param,Silvapulle,0000-0002-1149-4515,73VKqq8AAAAJ
Patrick, Wong, 0000-0002-6164-901X,kceK35kAAAAJ
Ralph,Snyder,0000-0001-8941-5875,Kc3oiaMAAAAJ
Rami,Tabri,0000-0003-4117-0498,tPVJS9IAAAAJ
Rob,Hyndman,0000-0002-2140-5352,vamErfkAAAAJ
Robert,Brooks,0000-0002-5960-8526,KH0O17gAAAAJ
Ruben,Loaiza Maya,0000-0003-4132-8355,4d3patwAAAAJ
Shanika,Wickramasuriya,0000-0003-2742-5992,R_uBL_gAAAAJ
Susan,Wei,0000-0002-6842-2352,Udv9jsIAAAAJ
Tissa,Galagedera,0000-0003-2990-4997,nRhrZnIAAAAJ
Wei,Wei,0000-0001-8360-2469,dIaNw8MAAAAJ
Xibin,Zhang,0000-0001-5813-3066,cODjyskAAAAJ
Xueyan,Zhao,0000-0002-5096-8787,o9gX1BoAAAAJ
